Title,EnglishTitle,PageLink,MapLink,Kaartlaag,Geometry,Entity,GPTConfidence,GPTReasoningSummary,GPTError
Stadslandbouw (locaties),City farming (locations),https://maps.amsterdam.nl/open_geodata/?k=62,https://maps.amsterdam.nl/stadslandbouw,STADSLANDBOUW_PUNT,PointDS,ObjectDS,0.99,"The layer contains point features marking city farming locations. Each point is a distinct named real-world place with attributes like name, address, status, and website, so it best fits ObjectDS.",
Stadslandbouw (terreinen),City farming (terrains),https://maps.amsterdam.nl/open_geodata/?k=76,https://maps.amsterdam.nl/stadslandbouw,STADSLANDBOUW_VLAK,PlainVectorRegion,ObjectDS,0.97,"The layer contains Polygon/MultiPolygon features for named city farming sites with addresses and websites, indicating identifiable bounded real-world places rather than a tessellated field or aggregate values.",
Stadsloods,City pilot,https://maps.amsterdam.nl/open_geodata/?k=66,https://maps.amsterdam.nl/stadsloods,STADSLOODS,PointDS,ObjectDS,0.98,"The layer contains 678 point features, each with a named initiator and activity/sector, indicating distinct identifiable real-world objects/locations rather than measurements or events.",
Stadsstraten,Major streets,https://maps.amsterdam.nl/open_geodata/?k=275,https://maps.amsterdam.nl/stadsstraat,STADSSTRAAT,LineDS,ObjectDS,0.95,"The layer contains LineString features representing major streets. These are identifiable real-world linear objects, not measurements or events.",
Stadswarmtekoude - transport,District heating cooling - transport,https://maps.amsterdam.nl/open_geodata/?k=224,https://maps.amsterdam.nl/stadswarmtekoude,STADSWARMTEKOUDE_TRANSPORT,LineDS,ObjectDS,0.98,The layer consists entirely of LineStrings and represents district heating/cooling transport infrastructure lines. These are identifiable network objects rather than measurements or events.,
Stadswarmtekoude - wijk,District heating cooling - neighbourhood,https://maps.amsterdam.nl/open_geodata/?k=301,https://maps.amsterdam.nl/stadswarmtekoude,STADSWARMTEKOUDE_WIJK,PlainVectorRegion,PatchDS,0.9,"The layer contains Polygon features, so it is region geometry. The polygons represent district heating/cooling areas with categorical network type and status, indicating bounded designated areas rather than a full tessellated field or reporting units.",
Woningbouwplannen - Strategische ruimte en Verkenning,Housing plans - Strategic space,https://maps.amsterdam.nl/open_geodata/?k=226,https://maps.amsterdam.nl/woningbouwplannen,STRATEGISCHERUIMTE,PlainVectorRegion,LatticeDS,0.89,"The layer consists of polygon/multipolygon areas for housing plan zones and strategic areas, with each region carrying aggregated planning attributes and maximum housing counts. These are bounded reporting areas rather than a full categorical coverage field, so LatticeDS is the best fit.",
Streekproducten,Local farming products,https://maps.amsterdam.nl/open_geodata/?k=58,https://maps.amsterdam.nl/streekproducten,STREEKPRODUCTEN,PointDS,ObjectDS,0.99,"The layer contains 170 point features marking named farms, shops, and horeca locations with addresses and product details, so each point is a distinct real-world object/place.",
Tram- en metrolijnen 2018,Tram and metro lines 2018,https://maps.amsterdam.nl/open_geodata/?k=321,https://maps.amsterdam.nl/trammetro,TRAMMETRO_LIJNEN_2018,LineDS,ObjectDS,0.97,"The layer consists entirely of LineString features representing tram and metro lines in Amsterdam, which are identifiable transport routes rather than measurements or events.",
Tram- en metrolijnen 2020,Tram and metro lines 2020,https://maps.amsterdam.nl/open_geodata/?k=220,https://maps.amsterdam.nl/trammetro,TRAMMETRO_LIJNEN_2020,LineDS,ObjectDS,0.97,"The layer consists entirely of LineString features representing tram and metro lines, which are identifiable transport routes/objects rather than measurements or events.",
Tramhaltes en metrostations 2018,Tram stops and metro stations 2018,https://maps.amsterdam.nl/open_geodata/?k=322,https://maps.amsterdam.nl/trammetro,TRAMMETRO_PUNTEN_2018,PointDS,ObjectDS,0.99,"The layer contains Point geometries for tram stops and metro stations, which are distinct real-world transport objects with identity.",
Tramhaltes en metrostations 2020,Tram stops and metro stations 2020,https://maps.amsterdam.nl/open_geodata/?k=221,https://maps.amsterdam.nl/trammetro,TRAMMETRO_PUNTEN_2020,PointDS,ObjectDS,0.99,"The layer contains Point geometries for tram stops and metro stations, which are discrete named real-world transit objects.",
Verkeerslichten,Traffic lights,https://maps.amsterdam.nl/open_geodata/?k=61,https://maps.amsterdam.nl/verkeerslichten,VERKEERSLICHTEN,PointDS,ObjectDS,0.98,"The layer contains point features for individual traffic lights/intersections. Each point is a distinct, named real-world object with an ID and status metadata, so ObjectDS fits best.",
Verkeersprognoses,Traffic prognosis,https://maps.amsterdam.nl/open_geodata/?k=253,https://maps.amsterdam.nl/verkeersprognoses,VERKEERSPROGNOSE,LineDS,AmountDS,0.99,"The layer consists of LineString features labeled as traffic links, with numeric forecast volumes by time period and vehicle type. This matches line-based flow/amount data rather than named objects or measurements along a contour.",
Verkiezingen Tweede Kamer 2017,Elections Parliament 2017,https://maps.amsterdam.nl/open_geodata/?k=217,https://maps.amsterdam.nl/verkiezingen2017,VERKIEZINGEN2017,PointDS,ObjectDS,0.99,"The layer contains point features for individual voting locations (Stemlocatie) in the 2017 parliamentary elections, each representing a distinct real-world polling place with election results attached.",
Vervangen bomen,Tree replacement,https://maps.amsterdam.nl/open_geodata/?k=296,https://maps.amsterdam.nl/vervangen_bomen,VERVANGENBOMEN,PointDS,ObjectDS,0.99,"The layer contains point features for individual trees, each with a unique BOOM_ID and species/size attributes, so it is a countable set of identifiable real-world objects.",
Verkeersinformatiesystemen,Traffic Information Systems,https://maps.amsterdam.nl/open_geodata/?k=182,https://maps.amsterdam.nl/vis,VIS,PointDS,ObjectDS,0.98,"The layer contains 566 Point features for traffic information devices (e.g., cameras, signs, DRIP). Each point is a distinct identifiable roadside object with an object number and location name.",
Verkeersinformatiesystemen - BFA,Traffic Information Systems - BFA,https://maps.amsterdam.nl/open_geodata/?k=266,https://maps.amsterdam.nl/vis,VIS_BFA,PointDS,ObjectDS,0.98,"The layer contains Point geometries for individual traffic information system installations (with unique IDs, types, locations, and attributes), so these are identifiable real-world objects.",
Broedende vogels,Breeding birds,https://maps.amsterdam.nl/open_geodata/?k=87,https://maps.amsterdam.nl/vogels,VOGELS,PointDS,AmountDS,0.96,"The layer is a point FeatureCollection marking bird nesting locations/addresses, and the year fields store approximate counts like 5+, ~10, or ranges rather than unique named objects.",
Vondelpark zitbanken,Vondelpark benches,https://maps.amsterdam.nl/open_geodata/?k=248,https://maps.amsterdam.nl/vondelpark_zitbanken,VONDELPARK_ZITBANKEN,PointDS,ObjectDS,0.99,"The layer consists of 289 point features representing individual park benches with identifiers and types, so it is a set of distinct real-world objects.",
Walkability,Walkability,https://maps.amsterdam.nl/open_geodata/?k=298,https://maps.amsterdam.nl/walkability,WALKABILITY,LineDS,ObjectDS,0.91,"The layer consists entirely of LineStrings representing street segments (Straatvaknummer) with walkability and crowding attributes, so it is line geometry describing bounded real-world objects rather than measurements or events.",
Wandkunst,Wall art,https://maps.amsterdam.nl/open_geodata/?k=272,https://maps.amsterdam.nl/wandkunst,WANDKUNST,PointDS,ObjectDS,0.98,"The layer contains 226 Point features marking individual wall art works. Each point represents a distinct, named real-world object/artwork at an address, not a measurement or event.",
Welstandniveaus bebouwing,Wealth levels building,https://maps.amsterdam.nl/open_geodata/?k=173,https://maps.amsterdam.nl/welstand,WELSTAND_NIVEAUS,PlainVectorRegion,CoverageDS,0.95,"The layer is a polygon/multipolygon region map with categorical welstand levels covering areas across Amsterdam, indicating a homogeneous categorical coverage rather than discrete objects or measurements.",
Welstandsystemen bebouwing,Wealth systems building,https://maps.amsterdam.nl/open_geodata/?k=174,https://maps.amsterdam.nl/welstand,WELSTAND_SYSTEMEN,PlainVectorRegion,CoverageDS,0.95,"The layer consists of polygon/multipolygon areas labeling building/style systems across Amsterdam. These are categorical region classes covering space, so PlainVectorRegion with CoverageDS fits best.",
Amsterdam onder vuur in WOII,Amsterdam under attack in WWII,https://maps.amsterdam.nl/open_geodata/?k=100,https://maps.amsterdam.nl/woii,WOII,PointDS,EventDS,0.98,"The layer contains point features only, each marking a WWII incident at a specific address with a date and description of what happened, so it is best classified as events at points.",
Woningbouwplannen,Housing plans,https://maps.amsterdam.nl/open_geodata/?k=142,https://maps.amsterdam.nl/woningbouwplannen,WONINGBOUWPLANNEN,PlainVectorRegion,PatchDS,0.89,"The layer contains polygon/multipolygon area features for housing development projects. These are bounded project areas rather than a full tessellated field or reporting units, and the attributes describe planned housing counts and phases, so PatchDS fits best.",
Zelfbouwkavels,Do-it-yourself plots,https://maps.amsterdam.nl/open_geodata/?k=60,https://maps.amsterdam.nl/zelfbouwkavels,ZELFBOUWKAVELS,PointDS,EventDS,0.88,"The layer contains point features marking self-build plot projects, and many attributes describe availability, realization, and selection/registration timing, so it best fits events associated with project opportunities rather than static objects.",
Zonnepanelen op erfgoed,Solar panels on heritage,https://maps.amsterdam.nl/open_geodata/?k=320,https://maps.amsterdam.nl/zonnedaken_erfgoed,ZONNEDAKEN_ERFGOED,PlainVectorRegion,CoverageDS,0.94,"The layer consists of Polygon/MultiPolygon regions with categorical classes covering heritage-related rooftop areas, indicating a region-based categorical coverage rather than points or lines.",
Zonnepanelen,Solar panels,https://maps.amsterdam.nl/open_geodata/?k=251,https://maps.amsterdam.nl/zonnepanelen,ZONNEPANELEN2017,PointDS,ObjectDS,0.98,"The layer contains Point geometries and each point appears to mark an identifiable solar-panel installation/site with attributes like function, detected panels, and power.",
Zwemwater,Swimming water,https://maps.amsterdam.nl/open_geodata/?k=218,https://maps.amsterdam.nl/zwemwater,ZWEMWATER,PointDS,ObjectDS,0.99,"The layer contains 45 point features naming specific swimming locations and facilities (e.g., beaches, pools). These are identifiable real-world places, not measurements or events.",
