OBJECTNUMMER;Soortcode;BFA_nummer;BFA_type;Standplaats;Jaar_aanleg;Venstertijden;Toegangssysteem;Camera;Beheerorganisatie;Bijzonderheden;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
46;"183";"Niet in beheer V&OR";"";"Nieuwe Herengracht/Amstel";0;"";"Anders";"";"Hermitage";"Niet in beheer V&OR";"POINT(4.902131,52.365754)";"POINT(52.365754,4.902131)";4.902131;52.365754;
47;"183";"VC32";"";"Lijnbaansgracht in";2014;"00.00-6.00/12.00-24.00";"Anders";"Regellicht";"V&OR VIS";"Bij calamiteiten bellen: Niet urgente meldingen m.b.t. schade- storing m.b.t. slagboom of pollers (vezips): meldingvkt@erdi.nl, cc aan vezips@amsterdam.nl Urgent tijdens kantoortijden: 075-6553055 Urgent buiten kantoortijden: 075-6315112 (w.o. weekend en feestdagen) Telefonische meldingen graag via email bevestigen aan: meldingvkt@erdi.nl, cc aan vezips@amsterdam";"POINT(4.881719,52.364841)";"POINT(52.364841,4.881719)";4.881719;52.364841;
48;"183";"VC34";"";"Stadhouderskade in/uit";2014;"00.00-7.00/11.00-24.00";"Anders";"Regellicht";"V&OR VIS";"Bij calamiteiten bellen: Niet urgente meldingen m.b.t. schade- storing m.b.t. slagboom of pollers (vezips): meldingvkt@erdi.nl, cc aan vezips@amsterdam.nl Urgent tijdens kantoortijden: 075-6553055 Urgent buiten kantoortijden: 075-6315112 (w.o. weekend en feestdagen) Telefonische meldingen graag via email bevestigen aan: meldingvkt@erdi.nl, cc aan vezips@amsterdam";"POINT(4.8820526,52.3619285)";"POINT(52.3619285,4.8820526)";4.8820526;52.3619285;
49;"183";"VC33";"RC660C";"Max Euweplein in/uit";2014;"00.00-24.00";"Anders";"Regellicht";"V&OR VIS";"Bij calamiteiten bellen: Niet urgente meldingen m.b.t. schade- storing m.b.t. slagboom of pollers (vezips): meldingvkt@erdi.nl, cc aan vezips@amsterdam.nl Urgent tijdens kantoortijden: 075-6553055 Urgent buiten kantoortijden: 075-6315112 (w.o. weekend en feestdagen) Telefonische meldingen graag via email bevestigen aan: meldingvkt@erdi.nl, cc aan vezips@amsterdam";"POINT(4.882351,52.3621265)";"POINT(52.3621265,4.882351)";4.882351;52.3621265;
50;"183";"VC35";"RC660C";"Zieniskade inrit";2016;"00.00-7.00/21.00-24.00";"Anders";"Regellicht";"V&OR VIS";"Bij calamiteiten bellen: Niet urgente meldingen m.b.t. schade- storing m.b.t. slagboom of pollers (vezips): meldingvkt@erdi.nl, cc aan vezips@amsterdam.nl Urgent tijdens kantoortijden: 075-6553055 Urgent buiten kantoortijden: 075-6315112 (w.o. weekend en feestdagen) Telefonische meldingen graag via email bevestigen aan: meldingvkt@erdi.nl, cc aan vezips@amsterdam";"POINT(4.886763,52.361501)";"POINT(52.361501,4.886763)";4.886763;52.361501;
51;"183";"VC36";"RC660C";"Leidsekade inrit";2017;"00.00-7.00/21.00-24.00";"Anders";"Regellicht";"V&OR VIS";"Bij calamiteiten bellen: Niet urgente meldingen m.b.t. schade- storing m.b.t. slagboom of pollers (vezips): meldingvkt@erdi.nl, cc aan vezips@amsterdam.nl Urgent tijdens kantoortijden: 075-6553055 Urgent buiten kantoortijden: 075-6315112 (w.o. weekend en feestdagen) Telefonische meldingen graag via email bevestigen aan: meldingvkt@erdi.nl, cc aan vezips@amsterdam";"POINT(4.880102,52.365041)";"POINT(52.365041,4.880102)";4.880102;52.365041;
52;"183";"VZ37";"RC660C";"Tesselschadestraat in";2017;"00.00-7.00/21.00-24.00";"Pasje";"Regellicht";"V&OR VIS";"Bij calamiteiten bellen: Niet urgente meldingen m.b.t. schade- storing m.b.t. slagboom of pollers (vezips): meldingvkt@erdi.nl, cc aan vezips@amsterdam.nl Urgent tijdens kantoortijden: 075-6553055 Urgent buiten kantoortijden: 075-6315112 (w.o. weekend en feestdagen) Telefonische meldingen graag via email bevestigen aan: meldingvkt@erdi.nl, cc aan vezips@amsterdam.nl ";"POINT(4.878594,52.362033)";"POINT(52.362033,4.878594)";4.878594;52.362033;
53;"183";"VZ53";"RC600C";"1e van der Helstraat/G. Flinckstraat, Loc 4";0;"00.00-24.00";"Anders";"";"V&OR VIS";"Bij calamiteiten bellen: Niet urgente meldingen m.b.t. schade- storing m.b.t. slagboom of pollers (vezips): meldingvkt@erdi.nl, cc aan vezips@amsterdam.nl Urgent tijdens kantoortijden: 075-6553055 Urgent buiten kantoortijden: 075-6315112 (w.o. weekend en feestdagen) Telefonische meldingen graag via email bevestigen aan: meldingvkt@erdi.nl, cc aan vezips@amsterdam.nl";"POINT(4.8933568,52.3549804)";"POINT(52.3549804,4.8933568)";4.8933568;52.3549804;
54;"183";"VZ52";"RC600C";"1e van der Helstraat/G. Flinckstraat, Loc 3";0;"00.00-5.00/11.00-16.30/19.30-24.00";"Anders";"";"V&OR VIS";"Bij calamiteiten bellen: Niet urgente meldingen m.b.t. schade- storing m.b.t. slagboom of pollers (vezips): meldingvkt@erdi.nl, cc aan vezips@amsterdam.nl Urgent tijdens kantoortijden: 075-6553055 Urgent buiten kantoortijden: 075-6315112 (w.o. weekend en feestdagen) Telefonische meldingen graag via email bevestigen aan: meldingvkt@erdi.nl, cc aan vezips@amsterdam.nl ";"POINT(4.8933095,52.3551088)";"POINT(52.3551088,4.8933095)";4.8933095;52.3551088;
55;"183";"VZ54";"RC600C";"1e van der Helstraat/Sarphatipark, Loc 5 ";0;"00.00-24.00";"Anders";"";"V&OR VIS";"Bij calamiteiten bellen: Niet urgente meldingen m.b.t. schade- storing m.b.t. slagboom of pollers (vezips): meldingvkt@erdi.nl, cc aan vezips@amsterdam.nl Urgent tijdens kantoortijden: 075-6553055 Urgent buiten kantoortijden: 075-6315112 (w.o. weekend en feestdagen) Telefonische meldingen graag via email bevestigen aan: meldingvkt@erdi.nl, cc aan vezips@amsterdam";"POINT(4.893696,52.35452)";"POINT(52.35452,4.893696)";4.893696;52.35452;
56;"183";"VZ51";"RC600C";"1e van der Helstraat/A. Cuypstraat, Loc 2";0;"00.00-5.00/11.00-16.30/19.30-24.00";"Anders";"";"V&OR VIS";"Bij calamiteiten bellen: Niet urgente meldingen m.b.t. schade- storing m.b.t. slagboom of pollers (vezips): meldingvkt@erdi.nl, cc aan vezips@amsterdam.nl Urgent tijdens kantoortijden: 075-6553055 Urgent buiten kantoortijden: 075-6315112 (w.o. weekend en feestdagen) Telefonische meldingen graag via email bevestigen aan: meldingvkt@erdi.nl, cc aan vezips@amsterdam.nl ";"POINT(4.8931997,52.3553613)";"POINT(52.3553613,4.8931997)";4.8931997;52.3553613;
57;"183";"VZ50";"RC600C";"G. Douplein, Loc 1";0;"11.00-16.30/18.00-22.00";"Anders";"";"V&OR VIS";"Bij calamiteiten bellen: Niet urgente meldingen m.b.t. schade- storing m.b.t. slagboom of pollers (vezips): meldingvkt@erdi.nl, cc aan vezips@amsterdam.nl Urgent tijdens kantoortijden: 075-6553055 Urgent buiten kantoortijden: 075-6315112 (w.o. weekend en feestdagen) Telefonische meldingen graag via email bevestigen aan: meldingvkt@erdi.nl, cc aan vezips@amsterdam.nl ";"POINT(4.8929338,52.3558461)";"POINT(52.3558461,4.8929338)";4.8929338;52.3558461;
58;"183";"VZ55";"RC600C";"F. Bolstraat/A. Cuypstraat, Loc 6";0;"11.00-16.30/18.00-22.00";"Anders";"";"V&OR VIS";"Bij calamiteiten bellen: Niet urgente meldingen m.b.t. schade- storing m.b.t. slagboom of pollers (vezips): meldingvkt@erdi.nl, cc aan vezips@amsterdam.nl Urgent tijdens kantoortijden: 075-6553055 Urgent buiten kantoortijden: 075-6315112 (w.o. weekend en feestdagen) Telefonische meldingen graag via email bevestigen aan: meldingvkt@erdi.nl, cc aan vezips@amsterdam.nl ";"POINT(4.890433,52.354947)";"POINT(52.354947,4.890433)";4.890433;52.354947;
59;"183";"VZ56";"RC600C";"van Woustraat/A. Cuypstraat, Loc 7";0;"11.00-16.30/18.00-22.00";"Anders";"";"V&OR VIS";"Bij calamiteiten bellen: Niet urgente meldingen m.b.t. schade- storing m.b.t. slagboom of pollers (vezips): meldingvkt@erdi.nl, cc aan vezips@amsterdam.nl Urgent tijdens kantoortijden: 075-6553055 Urgent buiten kantoortijden: 075-6315112 (w.o. weekend en feestdagen) Telefonische meldingen graag via email bevestigen aan: meldingvkt@erdi.nl, cc aan vezips@amsterdam.nl ";"POINT(4.899436,52.357123)";"POINT(52.357123,4.899436)";4.899436;52.357123;
60;"183";"VZ59";"RC600C";"1e Sweelinckstraat/G. Flinckstraat, Loc 10";0;"00.00-24.00";"Anders";"";"V&OR VIS";"Bij calamiteiten bellen: Niet urgente meldingen m.b.t. schade- storing m.b.t. slagboom of pollers (vezips): meldingvkt@erdi.nl, cc aan vezips@amsterdam.nl Urgent tijdens kantoortijden: 075-6553055 Urgent buiten kantoortijden: 075-6315112 (w.o. weekend en feestdagen) Telefonische meldingen graag via email bevestigen aan: meldingvkt@erdi.nl, cc aan vezips@amsterdam.nl ";"POINT(4.8977,52.356128)";"POINT(52.356128,4.8977)";4.8977;52.356128;
61;"183";"VZ58";"RC600C";"1e Sweelinckstraat/A. Cuypstraat, Loc 9";0;"00.00-24.00";"Anders";"";"V&OR VIS";"Bij calamiteiten bellen: Niet urgente meldingen m.b.t. schade- storing m.b.t. slagboom of pollers (vezips): meldingvkt@erdi.nl, cc aan vezips@amsterdam.nl Urgent tijdens kantoortijden: 075-6553055 Urgent buiten kantoortijden: 075-6315112 (w.o. weekend en feestdagen) Telefonische meldingen graag via email bevestigen aan: meldingvkt@erdi.nl, cc aan vezips@amsterdam.nl ";"POINT(4.8972874,52.356595)";"POINT(52.356595,4.8972874)";4.8972874;52.356595;
62;"183";"VZ57";"RC600";"1e Sweelinckstraat/G. Doustraat, Loc 8";0;"00.00-6.00/11.00-16.30/18.00-24.00";"Anders";"";"V&OR VIS";"Bij calamiteiten bellen: Niet urgente meldingen m.b.t. schade- storing m.b.t. slagboom of pollers (vezips): meldingvkt@erdi.nl, cc aan vezips@amsterdam.nl Urgent tijdens kantoortijden: 075-6553055 Urgent buiten kantoortijden: 075-6315112 (w.o. weekend en feestdagen) Telefonische meldingen graag via email bevestigen aan: meldingvkt@erdi.nl, cc aan vezips@amsterdam.nl ";"POINT(4.897091,52.356853)";"POINT(52.356853,4.897091)";4.897091;52.356853;
63;"183";"VZ67";"RC600";"Amstelveenseweg/Vondelpark, Loc 40";0;"00.00-24.00";"Anders";"";"V&OR VIS";"Bij calamiteiten bellen: Niet urgente meldingen m.b.t. schade- storing m.b.t. slagboom of pollers (vezips): meldingvkt@erdi.nl, cc aan vezips@amsterdam.nl Urgent tijdens kantoortijden: 075-6553055 Urgent buiten kantoortijden: 075-6315112 (w.o. weekend en feestdagen) Telefonische meldingen graag via email bevestigen aan: meldingvkt@erdi.nl, cc aan vezips@amsterdam.nl ";"POINT(4.855719,52.354913)";"POINT(52.354913,4.855719)";4.855719;52.354913;
64;"183";"VZ70";"RC600";"R. Visserstraat/Vondelpark, Loc 43";0;"00.00-24.00";"Anders";"";"V&OR VIS";"Bij calamiteiten bellen: Niet urgente meldingen m.b.t. schade- storing m.b.t. slagboom of pollers (vezips): meldingvkt@erdi.nl, cc aan vezips@amsterdam.nl Urgent tijdens kantoortijden: 075-6553055 Urgent buiten kantoortijden: 075-6315112 (w.o. weekend en feestdagen) Telefonische meldingen graag via email bevestigen aan: meldingvkt@erdi.nl, cc aan vezips@amsterdam.nl ";"POINT(4.8757156,52.3607689)";"POINT(52.3607689,4.8757156)";4.8757156;52.3607689;
65;"183";"VZ68";"RC600";"Van Eeghenstraat/Vondelpark, Loc 41";0;"00.00-24.00";"Anders";"";"V&OR VIS";"Bij calamiteiten bellen: Niet urgente meldingen m.b.t. schade- storing m.b.t. slagboom of pollers (vezips): meldingvkt@erdi.nl, cc aan vezips@amsterdam.nl Urgent tijdens kantoortijden: 075-6553055 Urgent buiten kantoortijden: 075-6315112 (w.o. weekend en feestdagen) Telefonische meldingen graag via email bevestigen aan: meldingvkt@erdi.nl, cc aan vezips@amsterdam.nl ";"POINT(4.871804,52.357681)";"POINT(52.357681,4.871804)";4.871804;52.357681;
66;"183";"VZ69";"RC600";"Stadhouderskade/Vondelpark, Loc 42";0;"00.00-24.00";"Anders";"";"V&OR VIS";"Bij calamiteiten bellen: Niet urgente meldingen m.b.t. schade- storing m.b.t. slagboom of pollers (vezips): meldingvkt@erdi.nl, cc aan vezips@amsterdam.nl Urgent tijdens kantoortijden: 075-6553055 Urgent buiten kantoortijden: 075-6315112 (w.o. weekend en feestdagen) Telefonische meldingen graag via email bevestigen aan: meldingvkt@erdi.nl, cc aan vezips@amsterdam";"POINT(4.881755,52.361687)";"POINT(52.361687,4.881755)";4.881755;52.361687;
67;"183";"VZ60";"RC600";"De Mirandalaan, Loc 20";0;"00.00-00.00";"Anders";"";"V&OR VIS";"Bij calamiteiten bellen: Niet urgente meldingen m.b.t. schade- storing m.b.t. slagboom of pollers (vezips): meldingvkt@erdi.nl, cc aan vezips@amsterdam.nl Urgent tijdens kantoortijden: 075-6553055 Urgent buiten kantoortijden: 075-6315112 (w.o. weekend en feestdagen) Telefonische meldingen graag via email bevestigen aan: meldingvkt@erdi.nl, cc aan vezips@amsterdam.nl ";"POINT(4.9009232,52.3380824)";"POINT(52.3380824,4.9009232)";4.9009232;52.3380824;
68;"183";"VZ65";"RC600";"Haringvlietstraat, Loc 25";0;"00.00-00.00";"Anders";"";"V&OR VIS";"Bij calamiteiten bellen: Niet urgente meldingen m.b.t. schade- storing m.b.t. slagboom of pollers (vezips): meldingvkt@erdi.nl, cc aan vezips@amsterdam.nl Urgent tijdens kantoortijden: 075-6553055 Urgent buiten kantoortijden: 075-6315112 (w.o. weekend en feestdagen) Telefonische meldingen graag via email bevestigen aan: meldingvkt@erdi.nl, cc aan vezips@amsterdam.nl ";"POINT(4.886454,52.344612)";"POINT(52.344612,4.886454)";4.886454;52.344612;
69;"183";"VZ62";"RC600";"Kennedylaan, Loc 22";0;"00.00-00.00";"Anders";"";"V&OR VIS";"Bij calamiteiten bellen: Niet urgente meldingen m.b.t. schade- storing m.b.t. slagboom of pollers (vezips): meldingvkt@erdi.nl, cc aan vezips@amsterdam.nl Urgent tijdens kantoortijden: 075-6553055 Urgent buiten kantoortijden: 075-6315112 (w.o. weekend en feestdagen) Telefonische meldingen graag via email bevestigen aan: meldingvkt@erdi.nl, cc aan vezips@amsterdam.nl ";"POINT(4.897383,52.340946)";"POINT(52.340946,4.897383)";4.897383;52.340946;
70;"183";"VZ63";"RC600";"Rooseveldlaan, Loc 23";0;"00.00-00.00";"Anders";"";"V&OR VIS";"Bij calamiteiten bellen: Niet urgente meldingen m.b.t. schade- storing m.b.t. slagboom of pollers (vezips): meldingvkt@erdi.nl, cc aan vezips@amsterdam.nl Urgent tijdens kantoortijden: 075-6553055 Urgent buiten kantoortijden: 075-6315112 (w.o. weekend en feestdagen) Telefonische meldingen graag via email bevestigen aan: meldingvkt@erdi.nl, cc aan vezips@amsterdam.nl ";"POINT(4.896615,52.342767)";"POINT(52.342767,4.896615)";4.896615;52.342767;
71;"183";"VZ61";"RC600";"Gelrestraat, Loc 21";0;"00.00-00.00";"Anders";"";"V&OR VIS";"Bij calamiteiten bellen: Niet urgente meldingen m.b.t. schade- storing m.b.t. slagboom of pollers (vezips): meldingvkt@erdi.nl, cc aan vezips@amsterdam.nl Urgent tijdens kantoortijden: 075-6553055 Urgent buiten kantoortijden: 075-6315112 (w.o. weekend en feestdagen) Telefonische meldingen graag via email bevestigen aan: meldingvkt@erdi.nl, cc aan vezips@amsterdam.nl ";"POINT(4.893544,52.340472)";"POINT(52.340472,4.893544)";4.893544;52.340472;
72;"183";"VZ66";"RC600";"T. Vermeulenpad, Loc 26";0;"00.00-24.00";"Anders";"";"V&OR VIS";"Bij calamiteiten bellen: Niet urgente meldingen m.b.t. schade- storing m.b.t. slagboom of pollers (vezips): meldingvkt@erdi.nl, cc aan vezips@amsterdam.nl Urgent tijdens kantoortijden: 075-6553055 Urgent buiten kantoortijden: 075-6315112 (w.o. weekend en feestdagen) Telefonische meldingen graag via email bevestigen aan: meldingvkt@erdi.nl, cc aan vezips@amsterdam.nl ";"POINT(4.8744186,52.3397395)";"POINT(52.3397395,4.8744186)";4.8744186;52.3397395;
73;"183";"VZ73";"RC600";"Honthorstsstraat/Museumplein, Loc 46";0;"00.00-24.00";"Anders";"";"V&OR VIS";"Bij calamiteiten bellen: Niet urgente meldingen m.b.t. schade- storing m.b.t. slagboom of pollers (vezips): meldingvkt@erdi.nl, cc aan vezips@amsterdam.nl Urgent tijdens kantoortijden: 075-6553055 Urgent buiten kantoortijden: 075-6315112 (w.o. weekend en feestdagen) Telefonische meldingen graag via email bevestigen aan: meldingvkt@erdi.nl, cc aan vezips@amsterdam.nl ";"POINT(4.883499,52.358036)";"POINT(52.358036,4.883499)";4.883499;52.358036;
74;"183";"VZ71";"RC600";"P. Potterstraat/Museumplein, Loc 44";0;"00.00-8.00/11.00-24.00";"Anders";"";"V&OR VIS";"Bij calamiteiten bellen: Niet urgente meldingen m.b.t. schade- storing m.b.t. slagboom of pollers (vezips): meldingvkt@erdi.nl, cc aan vezips@amsterdam.nl Urgent tijdens kantoortijden: 075-6553055 Urgent buiten kantoortijden: 075-6315112 (w.o. weekend en feestdagen) Telefonische meldingen graag via email bevestigen aan: meldingvkt@erdi.nl, cc aan vezips@amsterdam.nl ";"POINT(4.882065,52.358965)";"POINT(52.358965,4.882065)";4.882065;52.358965;
75;"183";"VZ72";"RC600";"J. Vermeerstraat/Museumplein, Loc 45";0;"00.00-24.00";"Anders";"";"V&OR VIS";"Bij calamiteiten bellen: Niet urgente meldingen m.b.t. schade- storing m.b.t. slagboom of pollers (vezips): meldingvkt@erdi.nl, cc aan vezips@amsterdam.nl Urgent tijdens kantoortijden: 075-6553055 Urgent buiten kantoortijden: 075-6315112 (w.o. weekend en feestdagen) Telefonische meldingen graag via email bevestigen aan: meldingvkt@erdi.nl, cc aan vezips@amsterdam.nl ";"POINT(4.884382,52.357878)";"POINT(52.357878,4.884382)";4.884382;52.357878;
76;"183";"VNW47";"";"Delftlandplein, Loc 1";0;"00.00-24.00";"Anders";"Regellicht";"V&OR VIS";"Bij calamiteiten bellen Niet urgente melding m.b.t. schade- storing aan m.b.t. slagboom of pollers (vezips): meldingvkt@erdi.nl  , cc aan vezips@amsterdam.nl Urgent tijdens kantoortijden: 075-6553055 Urgent buiten kantoortijden: 075-6315112 (w.o. weekend/feestdagen)  Telefonische meldingen graag via mail bevestigen meldingvkt@erdi.nl  , cc aan vezips@amsterdam.nl ellen: ";"POINT(4.8402475,52.3487032)";"POINT(52.3487032,4.8402475)";4.8402475;52.3487032;
77;"183";"VW49";"RC600";"Gashouder rechts, Loc 2";0;"";"Anders";"Regellicht";"V&OR VIS";"Bij calamiteiten bellen: Niet urgente meldingen m.b.t. schade- storing m.b.t. slagboom of pollers (vezips): meldingvkt@erdi.nl, cc aan vezips@amsterdam.nl Urgent tijdens kantoortijden: 075-6553055 Urgent buiten kantoortijden: 075-6315112 (w.o. weekend en feestdagen) Telefonische meldingen graag via email bevestigen aan: meldingvkt@erdi.nl, cc aan vezips@amsterdam.nl ";"POINT(4.871617,52.386449)";"POINT(52.386449,4.871617)";4.871617;52.386449;
78;"183";"VW48";"RC600";"Gashouder links, Loc 1";0;"";"Anders";"Regellicht";"V&OR VIS";"Bij calamiteiten bellen: Niet urgente meldingen m.b.t. schade- storing m.b.t. slagboom of pollers (vezips): meldingvkt@erdi.nl, cc aan vezips@amsterdam.nl Urgent tijdens kantoortijden: 075-6553055 Urgent buiten kantoortijden: 075-6315112 (w.o. weekend en feestdagen) Telefonische meldingen graag via email bevestigen aan: meldingvkt@erdi.nl, cc aan vezips@amsterdam.nl ";"POINT(4.869781,52.386396)";"POINT(52.386396,4.869781)";4.869781;52.386396;
79;"183";"VN45";"RC600";"Buiksloterdraaibrug, Loc 3 (werkt stand alone)";0;"";"Anders";"Regellicht";"V&OR VIS";"Bij calamiteiten bellen: Niet urgente meldingen m.b.t. schade- storing m.b.t. slagboom of pollers (vezips): meldingvkt@erdi.nl, cc aan vezips@amsterdam.nl Urgent tijdens kantoortijden: 075-6553055 Urgent buiten kantoortijden: 075-6315112 (w.o. weekend en feestdagen) Telefonische meldingen graag via email bevestigen aan: meldingvkt@erdi.nl, cc aan vezips@amsterdam.nl ";"POINT(4.9216015,52.398993)";"POINT(52.398993,4.9216015)";4.9216015;52.398993;
80;"183";"VN44";"RC600C";"Tolhuisweg, Loc 2";2018;"00.00-24.00";"Anders";"Regellicht";"V&OR VIS";"Bij calamiteiten bellen: Niet urgente meldingen m.b.t. schade- storing m.b.t. slagboom of pollers (vezips): meldingvkt@erdi.nl, cc aan vezips@amsterdam.nl Urgent tijdens kantoortijden: 075-6553055 Urgent buiten kantoortijden: 075-6315112 (w.o. weekend en feestdagen) Telefonische meldingen graag via email bevestigen aan: meldingvkt@erdi.nl, cc aan vezips@amsterdam.nl ";"POINT(4.9060827,52.3834663)";"POINT(52.3834663,4.9060827)";4.9060827;52.3834663;
81;"183";"NB geen gemeente";"";"Buikslotermeerplein 120";0;"";"";"";"";"";"POINT(4.937098,52.399631)";"POINT(52.399631,4.937098)";4.937098;52.399631;
82;"183";"NB geen gemeente";"";"Buikslotermeerplein 152";0;"";"";"";"";"";"POINT(4.937512,52.397844)";"POINT(52.397844,4.937512)";4.937512;52.397844;
83;"183";"NB geen gemeente";"";"Buikslotermeerplein 320";0;"";"";"";"";"";"POINT(4.93887,52.39731)";"POINT(52.39731,4.93887)";4.93887;52.39731;
84;"183";"NB geen gemeente";"";"Buikslotermeerplein 301";0;"";"";"";"";"";"POINT(4.93959,52.398669)";"POINT(52.398669,4.93959)";4.93959;52.398669;
85;"183";"NB geen gemeente";"";"Buikslotermeerplein 235";0;"";"";"";"";"";"POINT(4.938587,52.399061)";"POINT(52.399061,4.938587)";4.938587;52.399061;
86;"183";"VC7";"RC600";"Singel west/Blauwburgwal";0;"00.00-24.00";"Anders";"Regellicht";"V&OR VIS";"Bij calamiteiten bellen: Niet urgente meldingen m.b.t. schade- storing m.b.t. slagboom of pollers (vezips): meldingvkt@erdi.nl, cc aan vezips@amsterdam.nl Urgent tijdens kantoortijden: 075-6553055 Urgent buiten kantoortijden: 075-6315112 (w.o. weekend en feestdagen) Telefonische meldingen graag via email bevestigen aan: meldingvkt@erdi.nl, cc aan vezips@amsterdam";"POINT(4.8910356,52.3763882)";"POINT(52.3763882,4.8910356)";4.8910356;52.3763882;
87;"183";"VO87";"nb";"Frankendael, Loc 30";0;"Ma-Vr 7.00-12.00 uur t.b.v. restaurant";"Anders";"";"V&OR VIS";"Bij calamiteiten bellen: Niet urgente meldingen m.b.t. schade- storing m.b.t. slagboom of pollers (vezips): meldingvkt@erdi.nl, cc aan vezips@amsterdam.nl Urgent tijdens kantoortijden: 075-6553055 Urgent buiten kantoortijden: 075-6315112 (w.o. weekend en feestdagen) Telefonische meldingen graag via email bevestigen aan: meldingvkt@erdi.nl, cc aan vezips@amsterdam.nl ";"POINT(4.9288013,52.3516671)";"POINT(52.3516671,4.9288013)";4.9288013;52.3516671;
88;"183";"VN43";"";"Papaverweg, Loc 1";0;"00.00-24.00";"Anders";"Regellicht";"V&OR VIS";"Bij calamiteiten bellen: Niet urgente meldingen m.b.t. schade- storing m.b.t. slagboom of pollers (vezips): meldingvkt@erdi.nl, cc aan vezips@amsterdam.nl Urgent tijdens kantoortijden: 075-6553055 Urgent buiten kantoortijden: 075-6315112 (w.o. weekend en feestdagen) Telefonische meldingen graag via email bevestigen aan: meldingvkt@erdi.nl, cc aan vezips@amsterdam.nl ";"POINT(4.8984182,52.399531)";"POINT(52.399531,4.8984182)";4.8984182;52.399531;
90;"183";"VC88";"RC600";"Raamplein";2019;"Do 22.00-24.00/VR-Za 00.00-6.00/22.00-24.00/Zo 00.00-6.00";"Kentekenherkenning";"Kenteken - Regellicht";"V&OR VIS";"Bij calamiteiten bellen: Niet urgente meldingen m.b.t. schade- storing m.b.t. slagboom of pollers (vezips): meldingvkt@erdi.nl, cc aan vezips@amsterdam.nl Urgent tijdens kantoortijden: 075-6553055 Urgent buiten kantoortijden: 075-6315112 (w.o. weekend en feestdagen) Telefonische meldingen graag via email bevestigen aan: meldingvkt@erdi.nl, cc aan vezips@amsterdam";"POINT(4.8804694,52.3660327)";"POINT(52.3660327,4.8804694)";4.8804694;52.3660327;
91;"183";"VC03";"RC600";"Leidsegracht ";2019;"Do 22.00-24.00/VR-Za 00.00-6.00/22.00-24.00/Zo 00.00-6.00";"Anders";"Regellicht";"V&OR VIS";"Bij calamiteiten bellen: Niet urgente meldingen m.b.t. schade- storing m.b.t. slagboom of pollers (vezips): meldingvkt@erdi.nl, cc aan vezips@amsterdam.nl Urgent tijdens kantoortijden: 075-6553055 Urgent buiten kantoortijden: 075-6315112 (w.o. weekend en feestdagen) Telefonische meldingen graag via email bevestigen aan: meldingvkt@erdi.nl, cc aan vezips@amsterdam";"POINT(4.8823024,52.3660875)";"POINT(52.3660875,4.8823024)";4.8823024;52.3660875;
92;"183";"VC93";"ATM";"Kalverstraat inrit Dam";2019;"07.00-11.00";"Intercom";"Toezicht";"V&OR VIS";"Bij calamiteiten bellen: Niet urgente meldingen m.b.t. schade- storing m.b.t. slagboom of pollers (vezips): meldingvkt@erdi.nl, cc aan vezips@amsterdam.nl Urgent tijdens kantoortijden: 075-6553055 Urgent buiten kantoortijden: 075-6315112 (w.o. weekend en feestdagen) Telefonische meldingen graag via email bevestigen aan: meldingvkt@erdi.nl, cc aan vezips@amsterdam";"POINT(4.8920392,52.3723545)";"POINT(52.3723545,4.8920392)";4.8920392;52.3723545;
93;"183";"VC91";"ATM";"Kalverstraat inrit Spui zuid";2019;"07.00-11.00";"Anders";"Toezicht";"V&OR VIS";"Bij calamiteiten bellen: Niet urgente meldingen m.b.t. schade- storing m.b.t. slagboom of pollers (vezips): meldingvkt@erdi.nl, cc aan vezips@amsterdam.nl Urgent tijdens kantoortijden: 075-6553055 Urgent buiten kantoortijden: 075-6315112 (w.o. weekend en feestdagen) Telefonische meldingen graag via email bevestigen aan: meldingvkt@erdi.nl, cc aan vezips@amsterdam";"POINT(4.8911165,52.3687295)";"POINT(52.3687295,4.8911165)";4.8911165;52.3687295;
94;"183";"VC90";"ATM";"Heilige weg inrit";2019;"07.00-11.00";"Intercom";"Toezicht";"V&OR VIS";"Bij calamiteiten bellen: Niet urgente meldingen m.b.t. schade- storing m.b.t. slagboom of pollers (vezips): meldingvkt@erdi.nl, cc aan vezips@amsterdam.nl Urgent tijdens kantoortijden: 075-6553055 Urgent buiten kantoortijden: 075-6315112 (w.o. weekend en feestdagen) Telefonische meldingen graag via email bevestigen aan: meldingvkt@erdi.nl, cc aan vezips@amsterdam";"POINT(4.8912791,52.3678398)";"POINT(52.3678398,4.8912791)";4.8912791;52.3678398;
95;"183";"VC89";"ATM";"Kalverstraat uitrit Muntplein";2019;"07.00-11.00";"Anders";"Toezicht";"V&OR VIS";"Bij calamiteiten bellen: Niet urgente meldingen m.b.t. schade- storing m.b.t. slagboom of pollers (vezips): meldingvkt@erdi.nl, cc aan vezips@amsterdam.nl Urgent tijdens kantoortijden: 075-6553055 Urgent buiten kantoortijden: 075-6315112 (w.o. weekend en feestdagen) Telefonische meldingen graag via email bevestigen aan: meldingvkt@erdi.nl, cc aan vezips@amsterdam";"POINT(4.8926888,52.3673394)";"POINT(52.3673394,4.8926888)";4.8926888;52.3673394;
